recordID,vehicle,photo,brand,colourEdition,licencePlate,class,dailyDeposit,monthlyDeposit,dailyRental,weeklyRental,status,remarks,rentalHistory
,Ducati Panigale V4S,https://vroomleasing.com.sg/wp-content/uploads/2023/10/1-19-of-36-1364x2048.jpg,Ducati,,6035,2,$500,$500,$450,"$2,400",Out,,1 bike to multiple rental log
,Ducati Streetfighter V4,https://vroomleasing.com.sg/wp-content/uploads/2022/10/1-1-of-36-scaled.jpg,Ducati,,999,2,$500,$500,$300,"$1,800",In,,
,Gilera AM,,Gilera,,3566,2B,$100,$100,$40,$240,,,
,Gilera AM,,Gilera,,4887,2B,$100,$100,$40,$240,,,
,Gilera Stock,https://media.giphy.com/media/po22IZAwl64GhStxo5/giphy.gif,Gilera,Stock,7012,2B,$100,$100,$40,$240,,,
,Gilera Stock,https://media.giphy.com/media/po22IZAwl64GhStxo5/giphy.gif,Gilera,Stock,1271,2B,$100,$100,$40,$240,,,
,Gilera Stock,https://media.giphy.com/media/po22IZAwl64GhStxo5/giphy.gif,Gilera,,8616,2B,$100,$100,$40,$240,,,
,Honda ADV150,https://vroomleasing.com.sg/wp-content/uploads/2021/12/1-15-of-17-scaled.jpg,Honda,,1645,2B,$100,$100,$55,$280,,,
,Honda CB150X,https://vroomleasing.com.sg/wp-content/uploads/2022/11/1-1-of-15-1364x2048.jpg,Honda,,4050,2B,$100,$100,$55,$299,,,
,Honda CB200X,https://vroomleasing.com.sg/wp-content/uploads/2022/11/1-1-of-17-1364x2048.jpg,Honda,,4017,2B,$100,$100,$65,$299,,,
,Honda CB400X,https://cdn.sanity.io/images/otg9j4oh/production/436b80ada577b26538434405d46eb982cce67552-943x628.jpg?fm=webp,Honda,,5659,2A,$100,$100,$70,$299,,,
,Honda CBF150,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Honda-CBF150.jpg,Honda,,8943,2B,$100,$100,$30,$230,,,
,Honda CBR150R,,Honda,,2685,2B,$100,$100,$50,$280,,,
,Honda Revo,https://vroomleasing.com.sg/wp-content/uploads/2022/10/1-2-of-24-scaled.jpg,Honda,2018 R77,2018,2A,$100,$100,$70,$350,,,
,Honda Revo,https://vroomleasing.com.sg/wp-content/uploads/2022/10/1-2-of-24-scaled.jpg,Honda,,6587,2A,$100,$100,$70,$350,,,
,Honda Spec 3,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Honda-CB400-SF-Spec-3-Silver.jpg,Honda,,3129,2A,$100,$100,$70,$350,,,
,Honda Spec 3,https://vroomleasing.com.sg/wp-content/uploads/2021/12/Honda-CB400-SF-Spec-3-Silver.jpg,Honda,,3512,2A,$100,$100,$70,$350,,,
,Kawasaki Ninja ZX4R,,Kawasaki,,2000,2A,$200,$200,$100,$499,,,
,Kawasaki Ninja ZX4R,,Kawasaki,,1992,2A,$200,$200,$100,$499,,,
,KTM DUKE 200,https://vroomleasing.com.sg/wp-content/uploads/2022/01/1-1536x1536.jpg,KTM,,8041,2B,$100,$100,$50,$280,,,
,KTM DUKE 200,https://vroomleasing.com.sg/wp-content/uploads/2022/01/1-1536x1536.jpg,KTM,,4871,2B,$100,$100,$50,$280,,,
,KTM DUKE 200,https://vroomleasing.com.sg/wp-content/uploads/2022/01/1-1536x1536.jpg,KTM,,2486,2B,$100,$100,$50,$280,,,
,KTM DUKE 200,https://vroomleasing.com.sg/wp-content/uploads/2022/01/1-1536x1536.jpg,KTM,,4313,2B,$100,$100,$50,$280,,,
